,id,tweet,label
0,1,cdc current report death gener discrep death count differ sourc small explic death toll stand roughli peopl today,real
1,2,state report death small rise last tuesday southern state report death http co yasgrtt ux,real
2,3,polit correct woman almost use pandem excus reus plastic bag http co thf gunfp coronaviru nashvil,fake
3,4,indiafightscorona covid test laboratori india th august test done profbhargava dg icmrdelhi staysaf indiawillwin http co yh zxknnhz,real
4,5,popul state gener larg case count look new case per million today smaller state show case per million california texa al ar id ks ky la ms nv sc http co pyw cwra,real
5,6,covid act found averag person illinoi covid infect peopl data show infect growth rate declin time factor stay home order restrict put place http co hhigdd fe,real
6,7,test posit covid symptom stay home away peopl learn cdc recommend around other covid infect http co z kkxpqkyb http co pami rxaf,real
7,8,obama call trump coronaviru respons chaotic disast http co dedqzehasb,fake
8,9,clearli obama administr leav kind game plan someth like,fake
9,10,retract hydroxychloroquin chloroquin without macrolid treatment covid multin registri analysi lancet http co l v x g,fake
10,11,take simpl daili precaut help prevent spread respiratori ill like covid learn protect coronaviru covid http co uargztrh l http co biztxtukyk,real
11,12,nba pois restart month march report utah jazz got coronaviru test matter hour time u test sluggish http co yjjrnoth http co nk gpyo,fake
12,13,announc first particip age cohort dose phase studi mrna vaccin mrna novel coronaviru read http co woplkz bzc mrna http co vguoju cs,real
13,14,coronavirusupd indiafightscorona lakh test done rd success day cumul test date reach covid test per million tpm cross,real
14,15,protect other covid use public transport practic social distanc avoid touch surfac practic hand hygien learn http co vhhd ufv http co ysee vxv,real
15,16,august till total covid posit case amp covid relat death manipur covid covid covid india covidupd coronaupd corona coronaviru coronavirusindia coronavirusupd coronaviruspandem http co au kzachgh,real
16,17,donald trump neglig incompet peopl die nearli million case covid million american work yet pat back unbeliev,fake
17,18,indiafightscorona india continu scale new peak covid test lakh sampl test daili consecut day countri achiev level high daili test pmoindia drharshvardhan ashwinikchoubey pib india ddnewsliv,real
18,19,announc ship vial mrna compani vaccin novel coronaviru nih use plan phase studi u http co jnarqekghr http co eoayeqh,real
19,20,multipl facebook post claim aussi fine found talk conspiraci covid post includ screenshot segment australian breakfast televis show evid claim,fake
20,21,nobel prize laureat tasuku honjo say coronaviru natur post facebook claim fact professor honjo said greatli sadden name use spread misinform latest coronacheck http co rlctuiciho http co wdooccixfu,fake
21,22,nz covid tracker app remain import use alert level peopl encourag download app similar one keep record go,real
22,23,break news presid cryill ramaphosa ask foreign nation depart south africa june due increas case covid,fake
23,24,delight high upper middl countri economi confirm particip covax facil number grow urg yet join th septemb drtedro covid,real
24,25,intrigu possibl mood chang anxieti may function invas coronaviru cn brain http co q kwqjmfrt,real
25,26,elon musck new babi get job kid http co bc ai christma covid elonmusk achristmascarol,fake
26,27,new alcohol free sanit develop dedan kimathi univers kenya,fake
27,28,appendix b gather state order test huge chunk work goe appendix evalu access cdc data tracker,real
28,29,yesterday laboratori complet test test peopl manag isol quarantin routin test either day stay bring total number test complet date,real
29,30,reus n mask nih found vapor hydrogen peroxid uv light heat effect sanit http co rgfweslrv coronaviru http co lz iamdpzg,real
30,31,realdonaldtrump shift focu differ moment coronavirusoutbreak updat run timelin respons viru http co pgxjssarcb repli us recent trump moment think belong run list http co g wycppdso,fake
31,32,doctor imag presid donald trump share claim ask peopl chant hare krishna hare rama,fake
32,33,fourthofjuli weekend choos spend time outdoor event gather stay ft apart amp wear cloth face cover slow spread covid learn http co c f aoumld http co u ttl,real
33,34,cdc recommend mother stop breastfeed boost vaccin efficaci,fake
34,35,singapor airlin hault flight due coronaviru outbreak http co anhxhm dpk,fake
35,36,florida governor ron desanti botch covid respons ban corona beer order flatten pandem curv,fake
36,37,apologis govern ekiti state error remain commit improv qualiti control process ensur accur transpar report case http co c ypex khe,real
37,38,nyt invent video doctor fight coronaviru hospit,fake
38,39,may break k case day today south alon report http co fgcegi v,real
39,40,alert american coronaviru symptom ask cough directli onto presid trump,fake
40,41,launch covid solidar respons fund far mobil individu compani amp philanthropi addit mobil billion member state amp gener support countri drtedro http co xgpkpdvn r,real
41,42,footbal player cristiano ronaldo turn hotel hospit help coronaviru patient pay doctor staff,fake
42,43,includ test asymptomat worker involv manag isol quarantin airport border staff part wider surveil measur expect oper earli juli,real
43,44,want nation lockdown coronaviru continu progress uk pm say govt take measur insist want second nation lockdown read http co oc er h lg http co nlcysrwbbn,real
44,45,daili updat publish state report k test k case death http co bqjpi w qf,real
45,46,indiafightscorona new recoveri india exceed new case consecut day covid http co iwv eym hd,real
46,47,top state high activ caseload also one present report high level recoveri http co howhfx wpe,real
47,48,current peopl manag isol quarantin current effect capac give us excess capac next week project arriv departur facil,real
48,49,school struggl cope lack covid test new infect increas sinc becam compulsori pupil return get child test viru explain,real
49,50,scientist astrazeneca complain work coronaviru vaccin keep delay noddi holder ring ask readi christma http co lmyztnapx,fake
50,51,mask help prevent spread covid wide use public wear mask help protect around other wear one help protect peopl around incl http co jkwwztfwss wearamask doyourpart worldmaskweek http co fckrf ks,real
51,52,new case covid nigeria lago gomb plateau kwara enugu ogun katsina ekiti bauchi osun river confirm discharg death http co enpey u xh,real
52,53,alreadi coronaviru simpl test http co pnbf rsff,fake
53,54,rt mohfw india indiafightscorona high number sustain recoveri india surg ahead highest singl day recoveri nearl,real
54,55,itali surrend coronaviru pandem measur control covid exhaust,fake
55,56,presid trump forc wear protect medic mask http co nrgtixvrtv donaldtrump coronaviru cia fbi iud,fake
56,57,rt ellencutch coronaviru misinform move offlin reddit user post flyer site told us deliv,fake
57,58,orwel dead live bridg continu http co kl j vywwp govern toiletpap georgeorwel coronaviru,fake
58,59,resid york ask think new govern rule allow peopl england may covid fine fail self isol read click http co pqd xgam http co qpgh xldio,real
59,60,central govern given permiss school open,fake
60,61,today total icmrdelhi approv lab covid test consist govt amp pvt lab http co j tavyickc covidtest covid covid covid covid covid india covidupd coronaviru coronaupd coronavirusindia http co q iukceifx,real
61,62,govern come pressur lack avail covid test read http co lmm qgeryl http co kjwsini,real
62,63,fewer kid die sinc lockdown new white paper examin,fake
63,64,million case covid report almost death although countri affect continu see intens transmiss rel small group countri drtedro,real
64,65,justin trudeau resign amidst coronaviru pandem http co hkmcnbxsnb,fake
65,66,georg soro one peopl respons new coronaviru born laboratori,fake
66,67,johnkin sensit test definit someth specialist talk seen real number also look hard thing alexismadrig,real
67,68,expert call claim cow dung urin yoga ayush prevent treat covid,fake
68,69,main mode transmiss novel coronaviru droplet possibl infect smoker may blow droplet carri viru exhal regardless covid steer clear second hand smoke may caus variou health problem http co af bzrleve,real
69,70,articl claim bill gate vaccin would modifi human dna,fake
70,71,rt surgeon gener dyk handwash remain one best way prevent spread virus like covid thing,real
71,72,accord state health depart haryana covid recoveryr gurugram http co oz kcdajij covid covid covid coronaupd coronavirusindia coronavirusupd coronaviru covidupd http co sp yrrrwj,real
72,73,daili updat publish sunday monday tend see number dip see today still k case rise hospit larg jump death last sunday holiday number day averag back http co hdqfxq oj,real
73,74,total number confirm case covid number report world health organ,real
74,75,brazailian parliament went hospit take covid patient found empti,fake
75,76,multipl post share thousand time facebook twitter youtub claim salt effect remedi novel coronaviru,fake
76,77,un secretari gener antonio guterr say covid pandem dramat derail sustain develop goal put question progress made erad poverti hunger latest world news http co cdn pokubf http co tfzpdffyrc,real
77,78,instagram post claim covid test taint coronaviru circul mani month,fake
78,79,across state report track hospit bulk new york louisiana florida also grow number hospit,real
79,80,philippin senat grace poe risa hontivero silent coronaviru crisi vocal closur ab cbn,fake
80,81,indiafightscorona india total recoveri continu rise cross lakh today state contribut total case activ case total fatal report india staysaf indiawillwin http co krn goabnp,real
81,82,import consequ see covid syndem underlin social origin vulner older citizen black asian minor ethnic commun key worker commonli poorli paid fewer welfar protect,fake
82,83,rt covidnewsbymib indiafightscorona icmrdelhi scale covid test capac lakh test per day countri tota,real
83,84,video show italian doctor say nobodi die coronaviru itali danger flu,fake
84,85,season influenza vaccin mandatori georgia fall covid mortal rate significantli lower fatal caus virus,fake
85,86,say case mt roskil evangel fellowship group case bereav sub cluster includ case whose sourc infect bereav event,real
86,87,one new zealand receiv hospit level care covid yesterday laboratori complet test bring total number test complet date covid covid nz covid,real
87,88,pm th april breakdown case state lago fct kano osun oyo edo ogun kwara katsina bauchi kaduna akwa ibom delta ekiti ondo enugu river niger benu anambra borno jigawa,real
88,89,biggest chang data number covid patient current hospit addit florida k hospit seen number sinc first week may seem like declin soon http co trvo ypkgf,real
89,90,coronavirusupd covid india tracker septemb confirm case recov activ case death indiafightscorona indiawillwin staysaf via mohfw india http co wvqslxqbpc,real
90,91,person coronaviru galicia,fake
91,92,india test lakh sampl day covid enabl icmrdelhi commit set laboratori expand test mechan detail visit http co fqhg xrn icmrfightscovid indiafightscorona mohfw india http co rdkcvfbhu,real
92,93,claim jordanian health minist say covid conspiraci video,fake
93,94,pregnant women covid higher rate prematur birth http co g hscywgpr,real
94,95,solidar trial also underway mani countri project complet control covid effect easier due avail proper medicin vaccin etc control variou infecti diseas across world,real
95,96,covid updat new case covid report new zealand today day sinc last case covid acquir local unknown sourc,real
96,97,compar number complet test report new mexico state popul time smaller california number even close yet http co tzb fzm fp,real
97,98,case commun auckland base connect exist outbreak close contact case alreadi report new case household contact previous report case still investig gp mt wellington,real
98,99,precautionari messag one catch fire due hand sanit high amount alcohol messag also show hand ladi appli sanit went near stove end burn hand,fake
99,100,bring new zealand total number activ case manag isol quarantin facil case commun nz total number confirm case covid number report,real
100,101,say rudi giuliani bought share novarti primari supplier hydroxychloroquin earli februari,fake
101,102,student pondicherri univers india found home remedi covid accept world health organ,fake
102,103,footbal ronaldo turn hotel covid hospit,fake
103,104,coronavirusupd india record highest ever singl day peak covid recoveri indiafightscorona total recoveri cross lakh recoveri exceed activ case lakh http co xbi er k p http co vdqsv xvub,real
104,105,cough fever runni nose symptom came suddenli good chanc could flu watch find next fightflu http co fp asjumw,real
105,106,presid trump say panda respons covid http co mgan g oy donaldtrump china coronaviru zoo panda,fake
106,107,today activ covid case mumbai district maharastra http co ccqiygbxl mohfw india drharshvardhan drhvoffic mantralayaroom covid covid covid coronaupdatesinindia coronaviru coronavirusupd coronaviruspandem http co k icon kz,real
